id,created_at,text
793538254716796928,2016-11-01 19:40:37,Iraqi Army Officials Discover US-Made Missiles in ISIS's Military Base in Mosul #Clinton2016 https://t.co/pccDXsN7SG
793537075215798273,2016-11-01 19:35:56,RT @chrischilds911: 卐 #NAZI 卐 ITEMS W/#SWASTIKA ON #EBAY! VIsit: https://t.co/l5g7mPXP6j @eBay #Trump2016 #Trump #Republicans #Clinton2016…
793535204208115712,2016-11-01 19:28:30,Even the @mike_pence rally was bigger. #clinton2016 #MAGA #lockherup🇺🇸 @ Sanford Civic Center https://t.co/OUd2PSvoJT
793534099793248256,2016-11-01 19:24:07,Remember back when Sarah Palin was the rock bottom of the Republican candidate barrel? #lovetrumpshate #Clinton2016
793532199609917440,2016-11-01 19:16:34,The #HillaryClinton lemmings and suckers heading to jump off the #Clinton2016 cliff. https://t.co/CuyBQwyYKU
793526104732688384,2016-11-01 18:52:21,Hoy Washington Post publica sondeo nacional que sitúa a #TrumpPence2016 un punto por delante de #Clinton2016 46-45 https://t.co/fR1RkA2GZF
793522935596220416,2016-11-01 18:39:45,RT @chrischilds911: 卐 #NAZI 卐 ITEMS W/#SWASTIKA ON #EBAY! VIsit: https://t.co/l5g7mPXP6j @eBay #Trump2016 #Trump #Republicans #Clinton2016…
793519940112228352,2016-11-01 18:27:51,RT @chrischilds911: 卐 #NAZI 卐 ITEMS W/#SWASTIKA ON #EBAY! VIsit: https://t.co/l5g7mPXP6j @eBay #Trump2016 #Trump #Republicans #Clinton2016…
793517938057760772,2016-11-01 18:19:53,RT @raixvenignacia: I just made the irrational decision and voted for #clinton2016 yes .... I'm that dumb
793517445625614341,2016-11-01 18:17:56,@nytimesworld We are NOT #TrumpPoison. We are a nation of diversity &amp; we are #StrongerTogether. We will survive this nightmare. #Clinton2016
793516958213734400,2016-11-01 18:16:00,RT @countryqueen623: Still waiting for EVEN ONE reason #HillaryClinton #HillYes #ImWithHer #Clinton2016 #ClintonKaine #Hillary #Trump2016 #…
793515587620122624,2016-11-01 18:10:33,#GetOutandVote #ImWithHer #Clinton2016 #MadamPresident  #VoteBlueDownBallot #DontBeComplacent #UniteBlue… https://t.co/1anSXR6NtV
793513393844056064,2016-11-01 18:01:50,Poor WikiDrips and the Original G #Putin they thought they could bring @HillaryClinton down! fuck both of them! #Clinton2016
793512717579538433,2016-11-01 17:59:09,RT @chrischilds911: 卐 #NAZI 卐 ITEMS W/#SWASTIKA ON #EBAY! VIsit: https://t.co/l5g7mPXP6j @eBay #Trump2016 #Trump #Republicans #Clinton2016…
793509732812197888,2016-11-01 17:47:17,Unintended campaign slogan of the day (...or of the campaign)... #Clinton2016 https://t.co/r7e0QExuEM
793509140270292996,2016-11-01 17:44:56,@SophiaBush is going off with her retweets! #Clinton2016
793507088651608064,2016-11-01 17:36:47,I just made the irrational decision and voted for #clinton2016 yes .... I'm that dumb
793505539183505408,2016-11-01 17:30:37,Good information. We faced intimidation when we were voting. It's happening everywhere. Be vigilant and determined!… https://t.co/b3wLmoUBlg
793504183982886913,2016-11-01 17:25:14,"Look at how many people are here, he said sarcastically.  #clinton2016 #election2016 #MAGA… https://t.co/uexPDKWg6v"
793503259038212097,2016-11-01 17:21:34,On it! #imwithHer #soishe #clinton2016 https://t.co/BoBFBlDg8E
793501645988651008,2016-11-01 17:15:09,"@realDonaldTrump #Clinton2016 #TrumpPence2016 30 yrs corruption, collusion and controversy is more than enough"
793497378342993920,2016-11-01 16:58:12,@GOPPollAnalyst @Trump_pc_madnes  did the email come from Hillary or her ppl? READ! 🙄#ImWithHer #HillaryClinton #clinton2016 #StillWithHer #
793491141589073920,2016-11-01 16:33:25,ITEMS W/ On Visit Store: https://t.co/yeXwVO3fzz #NAZI #SWASTIKA #EBAY #Trump2016 #Clinton2016 #Trump #FoxNews #TGIF #Xmas #XmasGifts
793491101181173760,2016-11-01 16:33:15,MS W/ On Visit Store: https://t.co/yeXwVO3fzz #NAZI #SWASTIKA #EBAY #Trump2016 #Clinton2016 #Trump #FoxNews #TGIF #Xmas #XmasGifts
793490984613150720,2016-11-01 16:32:47,卐 卐 ITEMS W/ On Visit Store: https://t.co/yeXwVO3fzz #NAZI #SWASTIKA #EBAY #Trump2016 #Clinton2016 #Trump #FoxNews #TGIF #Xmas #XmasGifts
793490245085982720,2016-11-01 16:29:51,RT @chrischilds911: 卐 #NAZI 卐 ITEMS W/#SWASTIKA ON #EBAY! VIsit: https://t.co/l5g7mPXP6j @eBay #Trump2016 #Trump #Republicans #Clinton2016…
793488767424225281,2016-11-01 16:23:59,"This #election must be stressful for folks
""Damnation if you do, Armageddon if you don't.""
#politics #Clinton2016… https://t.co/my3OHgkeLU"
793486189101772800,2016-11-01 16:13:44,Please get Trump out of my state #ImWithHer #HillaryClinton #clinton2016
793485057453330432,2016-11-01 16:09:14,RT @chrischilds911: 卐 #NAZI 卐 ITEMS W/#SWASTIKA ON #EBAY! VIsit: https://t.co/l5g7mPXP6j @eBay #Trump2016 #Trump #Republicans #Clinton2016…
793482400546316288,2016-11-01 15:58:41,#TrumpPence2016 #Clinton2016 The Trump/Manafort/Russia inquiry is NULL SET (NYT); pathetic surrogates desperate to create news; SAD &amp; FUNNY
793481018464428037,2016-11-01 15:53:11,"#Clinton2016 LOL; the Clinton machines frantic, desperate attempt to change the subject is sooo soooo much fun to watch; Way past due!!!"
793479553075191808,2016-11-01 15:47:22,@RepubWithHer @nka1105 @Spaceboy_ca @angela_rye @KatrinaPierson There's only one candidate on the ballot this election. 🇺🇸🎉#clinton2016
793479420308779008,2016-11-01 15:46:50,#Clinton2016 https://t.co/OyY013DQ4i
793479311302889472,2016-11-01 15:46:24,Why you should vote for #Clinton2016. She stands at the frontline of the #ZombieApocalypse. What a hero! https://t.co/3VeIBd9PzM
793477958128328704,2016-11-01 15:41:01,"This election got me like...
#Clinton2016 #ImWithHer https://t.co/jHNy1fplxv"
793475808312627200,2016-11-01 15:32:29,RT @Maninthetower78: #FL #MAGA #NC #Democrats #AZ #HillaryStrong #Veterans #LGBT #CO #Clinton2016 #NV #ImWithHer #VoteBlue💙 https://t.co/9a…
793471792283344896,2016-11-01 15:16:31,#FL #MAGA #NC #Democrats #AZ #HillaryStrong #Veterans #LGBT #CO #Clinton2016 #NV #ImWithHer #VoteBlue💙 https://t.co/9aAru2Dn6V
793466721269080068,2016-11-01 14:56:22,RT @chrischilds911: 卐 #NAZI 卐 ITEMS W/#SWASTIKA ON #EBAY! VIsit: https://t.co/l5g7mPXP6j @eBay #Trump2016 #Trump #Republicans #Clinton2016…
793456570436882432,2016-11-01 14:16:02,RT @chrischilds911: 卐 #NAZI 卐 ITEMS W/#SWASTIKA ON #EBAY! VIsit: https://t.co/l5g7mPXP6j @eBay #Trump2016 #Trump #Republicans #Clinton2016…
793456342623105025,2016-11-01 14:15:08,@nka1105 @RepubWithHer @Spaceboy_ca @angela_rye @KatrinaPierson Took Saudi money to give to needy families in Afric… https://t.co/NPL6yCDZ3s
793455072927551488,2016-11-01 14:10:05,Still waiting for EVEN ONE reason #HillaryClinton #HillYes #ImWithHer #Clinton2016 #ClintonKaine #Hillary… https://t.co/GG3e3yO7sw
793450079092744192,2016-11-01 13:50:15,"Be sure to vote November 8. #ImWithHer #Clinton2016 #NeverDonald

https://t.co/QVSNHt3mIC"
793449701257383936,2016-11-01 13:48:45,RT @chrischilds911: 卐 #NAZI 卐 ITEMS W/#SWASTIKA ON #EBAY! VIsit: https://t.co/l5g7mPXP6j @eBay #Trump2016 #Trump #Republicans #Clinton2016…
793445459641634816,2016-11-01 13:31:53,RT @GH1Hess: #MSNBC #CNN #morningjoe #Hardball #Hillary #Liberal #Clinton #Clinton2016 #HillaryClinton #ClintonKaine https://t.co/CYQTVfVcVn
793444281105149957,2016-11-01 13:27:12,#MSNBC #CNN #morningjoe #Hardball #Hillary #Liberal #Clinton #Clinton2016 #HillaryClinton #ClintonKaine https://t.co/CYQTVfVcVn
793429107451330560,2016-11-01 12:26:55,RT @chrischilds911: 卐 #NAZI 卐 ITEMS W/#SWASTIKA ON #EBAY! VIsit: https://t.co/l5g7mPXP6j @eBay #Trump2016 #Trump #Republicans #Clinton2016…
793426780497469440,2016-11-01 12:17:40,"RT @SLandinSoCal: #ImWithHer #NeverTrump #ClintonKaine #Clinton2016

#WIKILEAKS: Here’s How The Clinton’s Free Private Jet Scam Works https…"
793419010159304705,2016-11-01 11:46:47,RT @chrischilds911: 卐 #NAZI 卐 ITEMS W/#SWASTIKA ON #EBAY! VIsit: https://t.co/l5g7mPXP6j @eBay #Trump2016 #Trump #Republicans #Clinton2016…
793417480811184128,2016-11-01 11:40:43,RT @chrischilds911: 卐 #NAZI 卐 ITEMS W/#SWASTIKA ON #EBAY! VIsit: https://t.co/l5g7mPXP6j @eBay #Trump2016 #Trump #Republicans #Clinton2016…
793410776358916096,2016-11-01 11:14:04,ITEMS ON W/ @eBay https://t.co/EJePrbHIsT #NAZI #EBAY #SWASTIKA! #Trump2016 #Republicans #Clinton #Clinton2016 #Democrats
793410031513370624,2016-11-01 11:11:07,RT @chrischilds911: 卐 #NAZI 卐 ITEMS W/#SWASTIKA ON #EBAY! VIsit: https://t.co/l5g7mPXP6j @eBay #Trump2016 #Trump #Republicans #Clinton2016…
793408440479604736,2016-11-01 11:04:47,RT @chrischilds911: 卐 #NAZI 卐 ITEMS W/#SWASTIKA ON #EBAY! VIsit: https://t.co/l5g7mPXP6j @eBay #Trump2016 #Trump #Republicans #Clinton2016…
793405511701901312,2016-11-01 10:53:09,RT @chrischilds911: 卐 #NAZI 卐 ITEMS W/#SWASTIKA ON #EBAY! VIsit: https://t.co/l5g7mPXP6j @eBay #Trump2016 #Trump #Republicans #Clinton2016…
793401396498432001,2016-11-01 10:36:48,@JeffersonObama  Rigged!!!  Just kidding... #ImWithHer #Clinton2016 #LoveIt
793400508056735744,2016-11-01 10:33:16,@BernieSanders #Clinton2016 Dems surely kicking themselves for sabotaging the candidacy of the only decent option we  had! Brazile/Shultz!
793399108807565312,2016-11-01 10:27:42,RT @chrischilds911: 卐 #NAZI 卐 ITEMS W/#SWASTIKA ON #EBAY! VIsit: https://t.co/l5g7mPXP6j @eBay #Trump2016 #Trump #Republicans #Clinton2016…
793398141534007296,2016-11-01 10:23:52,@HillaryClinton #TrumpPence16 #Clinton2016 Now who is using scare tactic?  Desperate MUCH?  30 yrs corruption/collusion = OUT TO PASTURE!!!
793380660694114304,2016-11-01 09:14:24,"RT @BravoBravoB11: 2014 #Hillary accuses #Putin of using #Hitler playbook in Ukraine ,,may explain his hatred for #Clinton2016 and hacked e…"
793379200203882496,2016-11-01 09:08:36,#8days left for #America to vote - #ClintonVsTrump #Clinton #Clinton2016 https://t.co/Tv1cW9I4A5
793375793678258176,2016-11-01 08:55:04,"2014 #Hillary accuses #Putin of using #Hitler playbook in Ukraine ,,may explain his hatred for #Clinton2016 and hac… https://t.co/4524jvbdcb"
793368968874627072,2016-11-01 08:27:56,Hope everyone had a great Diwali and a Happy Halloween! A week until Election Day! C'mon Dems! #Clinton2016 #ImWithHer #DontWantNoOrangePrez
793365531793428480,2016-11-01 08:14:17,RT @chrischilds911: 卐 #NAZI 卐 ITEMS W/#SWASTIKA ON #EBAY! VIsit: https://t.co/l5g7mPXP6j @eBay #Trump2016 #Trump #Republicans #Clinton2016…
793359078491840512,2016-11-01 07:48:38,RT @chrischilds911: 卐 #NAZI 卐 ITEMS W/#SWASTIKA ON #EBAY! VIsit: https://t.co/l5g7mPXP6j @eBay #Trump2016 #Trump #Republicans #Clinton2016…
793354331789467648,2016-11-01 07:29:47,RT @chrischilds911: 卐 #NAZI 卐 ITEMS W/#SWASTIKA ON #EBAY! VIsit: https://t.co/l5g7mPXP6j @eBay #Trump2016 #Trump #Republicans #Clinton2016…
793348093286621184,2016-11-01 07:04:59,RT @RealSaintClare: I haz chicken tendies #Clinton2016 @Nakidape @EdgySphinx @logicpositive @LaZzyOtaku @devsadvoca @devon_tracey @dannyduc…
793345055364964352,2016-11-01 06:52:55,RT @GraceGrey: I stand by my responses. #ImWithHer #vote #trumpchump #Clinton2016 https://t.co/sC7WMNo2Dt
793344899089391616,2016-11-01 06:52:18,I stand by my responses. #ImWithHer #vote #trumpchump #Clinton2016 https://t.co/sC7WMNo2Dt
793328580386103296,2016-11-01 05:47:27,"RT @TylerPreston20: #HillaryClinton is A Dindu? A Guest Video by Devil's Advocate:
https://t.co/ZVnBCkNY3t
#Clinton2016 #Trump2016"
793328253742092288,2016-11-01 05:46:09,"#HillaryClinton is A Dindu? A Guest Video by Devil's Advocate:
https://t.co/ZVnBCkNY3t
#Clinton2016 #Trump2016"
793317109958868992,2016-11-01 05:01:52,RT @tangodownwatch: RT DReaDPiRaTe9: RT AnonyPink: I hate #Trump2016 as much as i hate #Clinton2016. #TangoDown https://t.co/FNLqhKXMxS… ht…
793317009979092992,2016-11-01 05:01:28,RT @chrischilds911: 卐 #NAZI 卐 ITEMS W/#SWASTIKA ON #EBAY! VIsit: https://t.co/l5g7mPXP6j @eBay #Trump2016 #Trump #Republicans #Clinton2016…
