id,created_at,text
793533711505580032,2016-11-01 19:22:34,'The #Clinton Foundation Is A Global Fraud Which Has Stolen $100 Billion!' https://t.co/TfIhF3zNYo #hillary #theft
793533710943551488,2016-11-01 19:22:34,"RT @EetR_National: Hillary #Clinton avantagée pendant la primaire démocrate
Elle connaissait des questions à l’avance
#Trump 

https://t.co…"
793533672183861248,2016-11-01 19:22:25,RT @J_KnightNY: The lies &amp; propaganda #Clinton @johnpodesta &amp; @Slate r spreading about #Trump #Russian ties is extremely dangerous. Playing…
793533652600819712,2016-11-01 19:22:20,@tacobell #Clinton on the #2A https://t.co/RIQJnS521k
793533631528574976,2016-11-01 19:22:15,#hillaryclinton #hillary2016 #clinton #election #politics https://t.co/hHB6wHl9A3
793533630769397773,2016-11-01 19:22:15,RT @gabirobfrance: C'est quand on écoute les supporters de #Clinton qu'on comprend pourquoi une victoire de Trump est souhaitable. Clinton…
793533625962754052,2016-11-01 19:22:14,#hillaryclinton #hillary2016 #clinton #election #politics https://t.co/8EKuCfSIKh
793533593033273345,2016-11-01 19:22:06,"RT @AvecMarine87: Bien sûr qu'#AliJuppé ne fera rien. Cela tombe bien, c'est ce que veut #Berlin #Clinton et #Bruxelles https://t.co/mbQCcZ…"
793533570060922881,2016-11-01 19:22:00,"RT @HOOAH69: ""Podesta To Mills"" Technically, #Clinton has committed treason against our country...morally she's just scattered brained to b…"
793533569264123906,2016-11-01 19:22:00,#Clinton style #corruption #undecidedvoter #Undecided2016 #ImWithHer #imwithher2016 #Pennsylvania #NorthCarolina… https://t.co/forpt6MFkj
793533566428643328,2016-11-01 19:22:00,INSIDE MAN: Asst. #AttorneyGeneral #PeterKadzik involved in new #Clinton email investigation is #Podesta friend! https://t.co/3CVL0ZUYRQ
793533544954028033,2016-11-01 19:21:54,USA : un sondage donne #Trump devant #Clinton https://t.co/MEJ2jGdHbk via @LePoint
793533530663825409,2016-11-01 19:21:51,RT @Linnlondon1: Rumors Circulating on 4Chan — #Clinton To Step Down      On Tuesday! https://t.co/9TcOdS62i3
793533513228320768,2016-11-01 19:21:47,RT @RAPMDarin: All he did was to show his support for #HillaryClinton. If you don't vote for #TrumpPence16  you're voting for #Clinton. htt…
793533501731504128,2016-11-01 19:21:44,"#MAKEUPATRUMPRUMOR if it becomes a contested #election, I heard #trump is going to demand a thumb war with #clinton to determine the winner"
793533485055090689,2016-11-01 19:21:40,"RT @SpiegelPeter: A rather interesting time for an official @FBI Twitter account to tweet out something on the #Clinton Foundation, no? htt…"
793533476221784065,2016-11-01 19:21:38,"Economists (Yes, Even Right-Leaning Ones) Say Clinton’s Immigration Plan Is Better https://t.co/wUCq3h90sU #economy #clinton #election2016"
793533466029666304,2016-11-01 19:21:36,RT @RAPMDarin: All he did was to show his support for #HillaryClinton. If you don't vote for #TrumpPence16  you're voting for #Clinton. htt…
793533453534978048,2016-11-01 19:21:33,RT @leveil2016: La collaboratrice de #CNN accusée d'avoir aidé #Clinton donne sa démission https://t.co/Sz8dPWCuPo https://t.co/Ck1MBJrRkP
793533447654563840,2016-11-01 19:21:31,"yeah
#BernieSanders #Trump2016 ​#Bernie ​#Trump​ ​#TrumpTrain #Hillary #Clinton​ #ImWithHer #JillStein #GaryJohnson… https://t.co/lK8arVLqQL"
793533442990432260,2016-11-01 19:21:30,RT @gabirobfrance: C'est quand on écoute les supporters de #Clinton qu'on comprend pourquoi une victoire de Trump est souhaitable. Clinton…
793533431510687744,2016-11-01 19:21:27,"RT @tprincedelamour: Huma #Abedin bras droit et ""seconde fille"" d'Hillary #Clinton a passé 16 ans en Arabie Saoudite, fut employée d'un fin…"
793533430453633024,2016-11-01 19:21:27,RT @J_KnightNY: The lies &amp; propaganda #Clinton @johnpodesta &amp; @Slate r spreading about #Trump #Russian ties is extremely dangerous. Playing…
793533424011087876,2016-11-01 19:21:26,"RT @HOOAH69: ""Podesta To Mills"" Technically, #Clinton has committed treason against our country...morally she's just scattered brained to b…"
793533416079843329,2016-11-01 19:21:24,"RT @DropThe_Mic: @wikileaks New Hillary Ad Campaign. 
#PodestaEmails25 #Weiner #Trump #MAGA #wikileaks #Clinton https://t.co/fjFSgA9L9u"
793533402167123968,2016-11-01 19:21:20,"RT @HOOAH69: ""Podesta To Mills"" Technically, #Clinton has committed treason against our country...morally she's just scattered brained to b…"
793533389332553728,2016-11-01 19:21:17,"‘Unseemly’: #HRC Aide Urged #Clinton Foundation To Stop Taking Foreign Money - #America #STOPHillary #VoteTrump
https://t.co/gJqi64hkXf"
793533377894817792,2016-11-01 19:21:15,"RT @nonleggerlo: Remote control planes, California.

(Blake, Reuters) #Trump #Clinton #Halloween https://t.co/78A32dc4dF"
793533376028413953,2016-11-01 19:21:14,RT @Thomas1774Paine: Covered &amp; Investigated All Kinds of Schemes for decades. Never Seen Anything Like #Clinton Cartel. Many Should BE INDI…
793533375671861248,2016-11-01 19:21:14,Attention @SocietyOfficiel vous risquez d'être qualifiés d'antisémites en révélant les idéologies du + gros donateu… https://t.co/ltGYVzqpkH
793533321447899136,2016-11-01 19:21:01,"RT @libertytarian: ""This is America's story - that we learn who we are.""
Danny has a right to know if he's #Clinton son
@RealAlexJones"
793533318104920064,2016-11-01 19:21:00,"RT @Sakurai_Journal: クリントンほどではないが、トランプも上位寄付者はイスラエル系で、次期米大統領もその影響下に https://t.co/a7uiYRDbXI #r_blog #FBI, James #Comey, #Hillary #Clinton, D…"
793533307602493442,2016-11-01 19:20:58,"#Clinton ""Russia"" and ""Machado"" are maybe your best lies you got?  If so, keep it coming 'cause they are both very lame!"
793533297921884161,2016-11-01 19:20:56,"RT @electionbot538: Clinton gained 0.3%! She now leads Donald 72.1% to 27.9% in the @FiveThirtyEight polls-only forecast.
#Clinton #Trump #…"
