id,created_at,text
793530268170715136,2016-11-01 19:08:53,That is their GOAL...Then they will COMPLAIN the most about #Hillary !! https://t.co/2QRc6PGRE7
793530266711126024,2016-11-01 19:08:53,"If the people of the USA wish to save what's left of their #democracy,
then #BernieIsTheOnlyOne to replace #Hillary… https://t.co/EeS97BlXxv"
793530264106393602,2016-11-01 19:08:52,"RT @bfraser747: 💥💥 #WarOnWoman 

How can #Hillary claim 2 B 4 woman? 
She's defended rapists,  enabled Bill &amp; tormented his victims. blamed…"
793530262952878080,2016-11-01 19:08:52,"RT @healthandcents: #ARIZONA is ""ground zero"" for the Hell unleashed with #Hillary #OpenBorders.

PLEASE WATCH!

 VOTE to #BuildTheWall
htt…"
793530261006749696,2016-11-01 19:08:51,"RT @chuckwoolery: No one knows how this will turn out, but, from all indications, it looks like #Hillary is in full Panic and Damage contro…"
793530252530061313,2016-11-01 19:08:49,RT @_RealValentina_: Mr President and First Lady stopped following #Hillary on #Twitter. They don't control their own accounts. Who made th…
793530251057831936,2016-11-01 19:08:49,"RT @MossyWill66: @bfraser747 @kennethy69 #Hillary's bloody handed opinions about #unborn babies are no better than nazi ""docs"" who experime…"
793530243109617664,2016-11-01 19:08:47,"Freaked out by #FBIComey attacks on #Hillary, #Starbucks frightened into running a ""safe"" color for Xmas cups.
@CNN"
793530239401992193,2016-11-01 19:08:46,"#Pulitzer-winning .@PolitiFACT's
#TRUTH Cards: 

SEN/SEC #Hillary: 73%
True 24%
Mostly 26%
Half 23%

#Trump: 29%
Tr… https://t.co/VOhGV7k1ea"
793530237153710080,2016-11-01 19:08:46,RT @peterdaou: You can take this to the bank: Not a single email alluded to in #Comey's letter will show wrongdoing on #Hillary's part. IT'…
793530236889600000,2016-11-01 19:08:46,"RT @occupycorruptDC: In the next few days don't let #Hillary distract you from her criminality with: 

A #War with #Russia? https://t.co/pR…"
793530228278693888,2016-11-01 19:08:44,#OHHillYes #ImWithHer #Hillary #StrongerTogether #TrumpTramp #TrumpTheRapist https://t.co/hDi8pvNJZ0
793530225355284480,2016-11-01 19:08:43,"RT @womanINtransit: #NeeraTanden admits #Hillary NOT in favor of reinstating #GlassSteagall as shes ""pro-bank"" #podestaemails #wikileaks ht…"
793530224797446148,2016-11-01 19:08:43,RT @vivelafra: .@mariondbrown @veganvecoh @StateDept And she wanted @HumaAbedin to be SECRETARY OF STATE?!!!  #TerribleInstincts &gt; #Hillary…
793530224000372736,2016-11-01 19:08:43,Path to 270. #TRUMP #hillary #vote https://t.co/zcQF453utS
793530222884823041,2016-11-01 19:08:42,RT @JohnFromCranber: Julian Assange Vows a Neutron Bomb Before The 8th That Will Doom #Hillary Campaign https://t.co/0RvF0jJSmL Praying Thi…
793530221433610240,2016-11-01 19:08:42,"RT @bfraser747: 💥💥 #WakeUpAmerica

#Hillary has been lying since day1. If she is elected nothing will get done. Her entire presidency will…"
793530217465774084,2016-11-01 19:08:41,#ClintonFoundation memo reveals Bill &amp; #Hillary as partners in crime They will hang together! https://t.co/lizTxozQhA via @YahooNews
793530217184825345,2016-11-01 19:08:41,"RT @Entrepreneurix: Is Wikileaks About to Release Hillary’s 33,000 Deleted Emails?
https://t.co/rqpG14Hnsy 
#WikiLeaks #Hillary #Email #Kim…"
793530203389722625,2016-11-01 19:08:38,Watching @MSNBC during day has turned into a #Hillary hit job. Might as well be Fox News. Ridiculous
793530197932929024,2016-11-01 19:08:36,"RT @bfraser747: 💥💥 NATIONAL SECURITY 

How could #HillarysHuma get security clearance? She's likely choice for #ChiefOfStaff if #Hillary el…"
