id,created_at,text
7.94E+17,01-11-2016 22.53,"RT @bfraser747: 💥💥 #Abortion

If this doesn't scream VOTE #TRUMP I don't know what does. There are possibly 3-4 SCOTUS positions at stake.…"
7.94E+17,01-11-2016 22.53,"RT @mmpadellan: OH SNAP! Ladies on ""The View"" working it OUT!
At the 6:00 mark, Sunny Hostin reminds audience of #Trump's RAPE case.
Nation…"
7.94E+17,01-11-2016 22.53,"Bill Clinton was impeached on two charges: perjury and obstruction of justice. 
#CrookedHillary's following Bill's same footsteps.
#TRUMP"
7.94E+17,01-11-2016 22.53,#TedCruz casts early ballot and votes #TRUMP #CruzCrew https://t.co/X2syBHkasV
7.94E+17,01-11-2016 22.53,"Ce que #Trump a dit...
Ce que les médias disent... https://t.co/pg0usDpwpl"
7.94E+17,01-11-2016 22.53,"RT @ResistTyranny: Three reasons why #Trump will be a GREAT President:

🔹Balanced Budget
🔹Tax Relief
🔹Term Limits for Congressmen and Senat…"
7.94E+17,01-11-2016 22.53,"RT @johneric2004: There Are Pro-Trump Planes Flying Around Center City Philly #Trump
#WomenForTrump
#DrainTheSwamp
#MAGA
#NeverHillary http…"
7.94E+17,01-11-2016 22.53,@realDonaldTrump   #Trump lied about giving to 9/11 fund https://t.co/Lj0CzqhZw5 #NeverTrump
7.94E+17,01-11-2016 22.53,"RT @mmpadellan: OH SNAP! Ladies on ""The View"" working it OUT!
At the 6:00 mark, Sunny Hostin reminds audience of #Trump's RAPE case.
Nation…"
7.94E+17,01-11-2016 22.53,Check out this cartoon! The REAL #Trump Tower... @JeffSantosShow @buell003 @seattletimes @SeattleBernie #hillary… https://t.co/nk9WrkOuC3
7.94E+17,01-11-2016 22.53,"From the abuse I've seen and gotten on Twitter from #Trump folks I think its hostility to all ""others"" as well as… https://t.co/gNUSHXNWX7"
7.94E+17,01-11-2016 22.53,*sigh* Listen here if you have any questions about how #Dangerous #Trump is... https://t.co/fj6RcaFpDB https://t.co/FQL7nuK0A4
7.94E+17,01-11-2016 22.53,Trump says he knows more about war then generals #USA2016 #Trump https://t.co/VxzQpp2luo
7.94E+17,01-11-2016 22.53,RT @esneet4113: WTF? #Trump IS IN TROUBLE!! Judge orders RNC to detail voter fraud pacts with Trump campaign https://t.co/7POGp5Pwn1
7.94E+17,01-11-2016 22.53,RT @SS9Jonathan: Je kiff @OFNIW9 avec @steevy_boulay #C'estPasUneBoiteAPute 20\20 la vanne #OFNI  #Trump
7.94E+17,01-11-2016 22.53,RT @CorrectRecord: There's really no comparison between the #Trump and Clinton Foundations. https://t.co/Qy2ynv0bDU
7.94E+17,01-11-2016 22.53,RT @JohnLeguizamo: Sorry a vote for #JillStein is a vote for #trump. U r being cavalier w th future of our country @SusanSarandon @MarkRuff…
7.94E+17,01-11-2016 22.53,RT @Amaka_Ekwo: President #Trump https://t.co/CPXSHfiI1U
7.94E+17,01-11-2016 22.53,RT @tombermanap: Unpopularity of #Trump &amp; #Arpaio with #Latinos could be key in #Arizona #election results. https://t.co/NKZJtpfh60 #hispan…
7.94E+17,01-11-2016 22.53,RT @BethWeber1: Are you Jewish?  A vote for #Trump is a vote for the most antisemitic candidate in our lifetime.  #NeverForget what we have…
7.94E+17,01-11-2016 22.53,"RT @DeFotis: #Mexico: For Peso, Oil Matters More Than #Trump https://t.co/4GQGKWN1rC #EmergingMarket #energy #Pemex $EWW #currency @barrons…"
7.94E+17,01-11-2016 22.53,RT @ElectionLawCtr: #Trump now beating #Hillary in #iowa #ohio and #Florida. #gators #hawkeyes #cyclones #buckeyes #seminoles #bengals #ind…
7.94E+17,01-11-2016 22.53,https://t.co/ksltuvDMpb - help stop the racist/sexist/bully #Trump #neverTrump #racistTrump
7.94E+17,01-11-2016 22.53,#CNN fires #DonnaBrazile for tipping off #Hillary camp with town hall questions. #Trump says system's rigged. What say you? #Elections2016
7.94E+17,01-11-2016 22.53,RT @joelpollak: Another panoramic shot of enormous line to enter #Trump #EauClaire #Wisconsin rally. Capacity of arena is only 3500. https:…
7.94E+17,01-11-2016 22.53,RT @ESTBLSHMNT: “There are worrying precedents for #Trump's scapegoating of black and brown people.” https://t.co/bDr02j0PoM by @Quinnae_Mo…
7.94E+17,01-11-2016 22.53,#TrumpForPresident #Trump  https://t.co/IEd9cSkTE0
7.94E+17,01-11-2016 22.53,"RT @joelpollak: According to my #iPhone, the line outside the @realDonaldTrump #Trump rally in #EauClaire #Wisconsin was about half a mile…"
7.94E+17,01-11-2016 22.53,Panoramic shot of thousands of @realDonaldTrump supporters waiting in line for #Trump rally in #EauClaire… https://t.co/9Rv0t2WInG
7.94E+17,01-11-2016 22.53,very sad that #trump could pick a vp #TrumpPence16 who compliments who well enough to be worse for women #imwithher https://t.co/i1pUi2rtnv
7.94E+17,01-11-2016 22.53,"RT @rafshmatko: Mr. Las Vegas, #WayneNewton: “I really don’t know of a person that loves #America and Americans as much as Donald J. #Trump…"
7.94E+17,01-11-2016 22.53,"RT @JRoInAK: #Trump's pastime is LYING, abusing women, discriminating https://t.co/cem6z94o1Z"
7.94E+17,01-11-2016 22.53,RT @DonaldJTrumpJr: Nuff said. #maga #makeamericagreatagain #trump #trump2016 https://t.co/UTubV0D3OQ
7.94E+17,01-11-2016 22.53,RT @SpryGuy: It really is insane that #Trump got away with not releasing his taxes: https://t.co/9KPoI9ucFf #topprog #libcrib #p2 #uniteblu…
7.94E+17,01-11-2016 22.53,"RT @mmpadellan: OH SNAP! Ladies on ""The View"" working it OUT!
At the 6:00 mark, Sunny Hostin reminds audience of #Trump's RAPE case.
Nation…"
7.94E+17,01-11-2016 22.53,I don't believe in reincarnation so it doesn't bother me that Trump was born the year after Hitler died. #TRUMP
7.94E+17,01-11-2016 22.53,"RT @SandraTXAS: #Trump love him or hate him....
#FBISongs
#ImWithHer not! #HillarysEmails
#MAGA #Trump https://t.co/lJTE0APgzG"
7.94E+17,01-11-2016 22.53,"RT @Thomas1774Paine: MSBNC's #ChrisMatthews: Vote #Trump &amp; ""Shake this System to its Roots."" Philly guy Matthews smartens up, knows #Hillar…"
7.94E+17,01-11-2016 22.53,"RT @RobertJensen2: A #Trump presidency would be so utterly disastrous I wonder if it isn't time for world leaders, including @JustinTrudeau…"
7.94E+17,01-11-2016 22.53,"Yuck!  How many meals could be provided to hungry children with that $20,000? #Trump=Putin #NeverTrump #RapedAChild… https://t.co/5lJom6lamN"
7.94E+17,01-11-2016 22.53,"RT @SandraTXAS: #Trump love him or hate him....
#FBISongs
#ImWithHer not! #HillarysEmails
#MAGA #Trump https://t.co/lJTE0APgzG"
7.94E+17,01-11-2016 22.53,"RT @SandraTXAS: #Trump love him or hate him....
#FBISongs
#ImWithHer not! #HillarysEmails
#MAGA #Trump https://t.co/lJTE0APgzG"
7.94E+17,01-11-2016 22.53,"RT @Corporatocrazy: 🎉Whoa!!!! #TrumpTrain is long!!😅

#Trump #rally #TrumpRally #Wisconsin #WI #EauClaire https://t.co/mtkPPkxk9u"
7.94E+17,01-11-2016 22.53,"RT @PatriotByGod: The U.S. Stock Market is trending towards a #Trump victory next week. 

 https://t.co/GiOvCxF9JT via @markets"
7.94E+17,01-11-2016 22.53,"RT @jojoh888: #Hillary throwing anything at #Trump to 👀 what sticks, we see your desperation, quite amusing #wikileaks #PodestaEmails #Neve…"
7.94E+17,01-11-2016 22.53,RT @joelpollak: Long line to get into #Trump rally in #EauClaire #Wisconsin https://t.co/srj4zQwMIu
7.94E+17,01-11-2016 22.53,"RT @JeffreyGuterman: #Trump inciting violence at rally in KC, MO on 3/12/16: ""These are bad, bad people."" https://t.co/Cma8netlmI"
7.94E+17,01-11-2016 22.53,RT @ScottAdamsSays: Today a beauty contest winner just accused Trump of judging women by their looks. That's a swing and a miss. #Trump #Cl…
7.94E+17,01-11-2016 22.53,"RT @coachmikeq: #crookedhillary #clinton def has the ""poorly educated"" supporting her...people that ""get it"" are voting #trump @realDonaldT…"
7.94E+17,01-11-2016 22.53,RT @DavidTheroux: Wikileaks: DOJ off on Hill email Podesta crony https://t.co/0irNpMECLb #draintheswamp #trump #maga #usa #trumptrain #croo…
7.94E+17,01-11-2016 22.53,"RT @Amaka_Ekwo: President #Trump
#MAGA
#TrumpForDecolonisation
#TrumpForSelfDetermination
#TrumpForBiafra
#BiafraForTrump
#Biafra https://t…"
7.94E+17,01-11-2016 22.53,"@GeorgeTakei 

1 out of 3 people standing next to the #Trump #DumpsterFire will die of lung cancer..........."
7.94E+17,01-11-2016 22.53,RT @numillennia1: Please. Please. Don't vote for the toxic-stew that is #Trump
7.94E+17,01-11-2016 22.53,Fair elections...... Comey Don't Play Dat!       #comey  #sidmiller #clowncar #trump #nastywoman https://t.co/LhqdGymhBd
7.94E+17,01-11-2016 22.53,RT @JohnLeguizamo: Sorry a vote for #JillStein is a vote for #trump. U r being cavalier w th future of our country @SusanSarandon @MarkRuff…
7.94E+17,01-11-2016 22.53,RT @DavidCayJ: Why #Trump can live tax-free for life thanks to Supreme Court decision by Clarence Thomas. My @thedailybeast column: https:/…
7.94E+17,01-11-2016 22.53,RT @GreenGrounded: Are #Trump and #Berlusconi the same person?
7.94E+17,01-11-2016 22.53,RT @ScottAdamsSays: Today a beauty contest winner just accused Trump of judging women by their looks. That's a swing and a miss. #Trump #Cl…
7.94E+17,01-11-2016 22.53,"RT @adrenaline1001: Le #ChicagoTribune demande à #Hillary de se retirer devant le scandale de corruption et l'enquête du FBI..
#Trump la de…"
7.94E+17,01-11-2016 22.53,"Great thing got to let Voters See Plays Videos. Of  Rapist Danger if #Trump who like Minor girls. aka 
 SexPredator get anyWhere WH"
7.94E+17,01-11-2016 22.53,RT @FuckDonnyTrump: Y dafuck does #Russia feel welcome 2 our democracy? Yall have no rights here. Dafuck outta here. Take #Trump w/ u while…
7.94E+17,01-11-2016 22.53,RT @esneet4113: WTF? #Trump IS IN TROUBLE!! Judge orders RNC to detail voter fraud pacts with Trump campaign https://t.co/7POGp5Pwn1
7.94E+17,01-11-2016 22.53,"RT @bfraser747: 💥💥 #VoteTrump

On November 9th the American people will wake up and realize there is HOPE and #TRUMP can maybe #MAGA

#Hill…"
7.94E+17,01-11-2016 22.53,"RT @Luke4Tech: Live streaming #Trump last rally for today from Eau Claire,Wi  here's the video link ...R/T...            📽: https://t.co/kP…"
7.94E+17,01-11-2016 22.53,RT @DonaldJTrumpJr: Great to be at Iowa State University today. #Iowa #IA #maga #MakeAmericaGreatAgain #trump https://t.co/lFPP8tkOGp
7.94E+17,01-11-2016 22.53,Read The Youarescrewed Daily on https://t.co/0oSyrcpl8w #idonotconsent #trump
7.94E+17,01-11-2016 22.53,@realDonaldTrump   #Trump sniffles like the sick old man he is. https://t.co/qIEF1O4GZC #NeverTrump
7.94E+17,01-11-2016 22.53,RT @joelpollak: Panoramic shot of thousands of @realDonaldTrump supporters waiting in line for #Trump rally in #EauClaire #Wisconsin https:…
7.94E+17,01-11-2016 22.53,RT @JohnLeguizamo: Sorry a vote for #JillStein is a vote for #trump. U r being cavalier w th future of our country @SusanSarandon @MarkRuff…
7.94E+17,01-11-2016 22.53,"RT @BethWeber1: Are you Hispanic or Latino?
""Criminals and rapists""
""build the wall""
A vote for #Trump is a vote against your own self-inte…"
7.94E+17,01-11-2016 22.53,"RT @DrMartyFox: The Next Attack On #Trump⁉️

#DNC &amp; The #Hillary Campaign

Intercepted #Trump Tax &amp; Financial Reports

https://t.co/pb6Bf0d…"
7.94E+17,01-11-2016 22.53,RT @DavidTheroux: Wikileaks release Hill 33K deleted email? https://t.co/tOeMEkaZzi #draintheswamp #trump #maga #usa #trumptrain #crookedhi…
7.94E+17,01-11-2016 22.53,"RT @BryanDawsonUSA: #Trump campaign manager, Kellyanne Conway: ""Rape wouldn't exist"" if women were stronger!

#BasketOfDeplorables https://…"
7.94E+17,01-11-2016 22.53,"RT @Wutevuh: .@HillaryClinton Dr. #AlvedaKing, Neice of Dr. #MartinLutherKing, talks about #Trump stance on #Black America 
https://t.co/6e…"
7.94E+17,01-11-2016 22.53,RT @JudithKto: These guys today would be #Trump supporters. The black man being abused is on his way to vote. Case YOUR VOTE so this doesn'…
7.94E+17,01-11-2016 22.52,"RT @Babbsgirl2: Only A Person That Truly Loves America &amp; Wants To See Americans Prosper &amp; Thrive Would Take This Abuse 

#TRUMP Is For You!…"
7.94E+17,01-11-2016 22.52,"RT @FuckDonnyTrump: #Trump calls US citizen, whistle blower #Snowden a traitor but encourages #Russia espionage &amp; leakage thru #Icelandic @…"
7.94E+17,01-11-2016 22.52,RT @jcjohnson86: #election2016 #Hillary #Clinton #Trump #ImWithher #StrongerTogether #maga #NeverTrump #NeverHillary #BernieOrBust #BernieS…
7.94E+17,01-11-2016 22.52,"370 economists call #Trump ""unique danger"" to democracy,“magical thinking and conspiracy theories”
https://t.co/iHusbucjnO #NeverTrump #VA10"
7.94E+17,01-11-2016 22.52,RT @jcjohnson86: #election2016 #Hillary #Clinton #Trump #ImWithher #StrongerTogether #maga #NeverTrump #NeverHillary #BernieOrBust #BernieS…
7.94E+17,01-11-2016 22.52,"RT @JikaryJack: Remember this anytime you hear someone quote @NateSilver538 this week.
#MAGA #Trump https://t.co/O99M73jr3K"
7.94E+17,01-11-2016 22.52,RT @YourAnonCentral: A Veteran Spy Has Given the #FBI Information Alleging a Russian Operation to Cultivate Donald #Trump: https://t.co/KAm…
7.94E+17,01-11-2016 22.52,RT @ScottAdamsSays: Today a beauty contest winner just accused Trump of judging women by their looks. That's a swing and a miss. #Trump #Cl…
7.94E+17,01-11-2016 22.52,RT @rustykuntz509: Why the f¤ck is #crookedhillary &amp; the #GoLowGang trotting out Ms Piggy Alicia Machado. Is she thanking #Trump for saving…
7.94E+17,01-11-2016 22.52,RT @Hotpage_News: Poll: #TRUMP  +7 over #HillaryClinton in North Carolina   https://t.co/7Rs1s3Ki7l
7.94E+17,01-11-2016 22.52,"RT @SandraTXAS: US Must Support Safe Haven for Persecuted Mideast Christians https://t.co/h79gUHrjbQ

#WednesdayWisdom 
#MAGA #Trump
#tcot…"
